Entity,Code,Year,Inbound Tourism Expenditure (adjusted for inflation and cost of living)
New Zealand,NZL,2016,9733047000
New Zealand,NZL,2017,10149003000
New Zealand,NZL,2018,10613352000
New Zealand,NZL,2019,10587685000
New Zealand,NZL,2020,5683342000
New Zealand,NZL,2021,2534747100
Norway,NOR,1995,2271206700
Norway,NOR,1996,2301846300
Norway,NOR,1997,2329213000
Norway,NOR,1998,2408185900
Norway,NOR,1999,2616769300
Norway,NOR,2000,2579192000
Norway,NOR,2001,2443169800
Norway,NOR,2002,2383497000
Norway,NOR,2003,2366263600
Norway,NOR,2004,2673234000
Norway,NOR,2005,2950400800
Norway,NOR,2006,3114160000
Norway,NOR,2007,3356934100
Norway,NOR,2008,3355092500
Norway,NOR,2009,3167063600
Norway,NOR,2010,3321158700
Norway,NOR,2011,3453354800
Norway,NOR,2012,3631200500
Norway,NOR,2013,3717116700
Norway,NOR,2014,3873963800
Norway,NOR,2015,4230275000
Norway,NOR,2016,4572082700
Norway,NOR,2017,4736483000
Norway,NOR,2018,4796065300
Norway,NOR,2019,5055613400
Norway,NOR,2020,1656521500
Norway,NOR,2021,1532176900
Poland,POL,1995,23582738000
Poland,POL,1996,27942610000
Poland,POL,1997,30399246000
Poland,POL,1998,26430814000
Poland,POL,1999,21614856000
Poland,POL,2000,20052394000
Poland,POL,2001,14665322000
Poland,POL,2002,13317486000
Poland,POL,2003,11892072000
Poland,POL,2004,15566966000
Poland,POL,2005,14509392000
Poland,POL,2006,15844858000
Poland,POL,2007,20190253000
Poland,POL,2008,18749843000
Poland,POL,2009,17914804000
Poland,POL,2010,17544473000
Poland,POL,2011,18540872000
Poland,POL,2012,20138670000
Poland,POL,2013,19985996000
Poland,POL,2014,20759060000
Poland,POL,2015,22156753000
Poland,POL,2016,24610007000
Poland,POL,2017,27204946000
Poland,POL,2018,27981195000
Poland,POL,2019,29119690000
Poland,POL,2020,16834577000
Poland,POL,2021,17496658000
Portugal,PRT,1995,9000359000
Portugal,PRT,1996,8839912000
Portugal,PRT,1997,9455247000
Portugal,PRT,1998,11226957000
Portugal,PRT,1999,11015824000
Portugal,PRT,2000,12323547000
Portugal,PRT,2001,12698930000
Portugal,PRT,2002,12319230000
Portugal,PRT,2003,11393565000
Portugal,PRT,2004,11726701000
Portugal,PRT,2005,11457897000
Portugal,PRT,2006,12081072000
Portugal,PRT,2007,13052451000
Portugal,PRT,2008,12801961000
Portugal,PRT,2009,12021837000
Portugal,PRT,2010,12862771000
Portugal,PRT,2011,13449292000
Portugal,PRT,2012,13695938000
Portugal,PRT,2013,14596976000
Portugal,PRT,2014,16442631000
Portugal,PRT,2015,18478617000
Portugal,PRT,2016,20329329000
Portugal,PRT,2017,24535142000
Portugal,PRT,2018,26257902000
Portugal,PRT,2019,28139241000
Portugal,PRT,2020,11924165000
Portugal,PRT,2021,15205728000
Romania,ROU,1995,3022595600
Romania,ROU,1996,2961084000
Romania,ROU,1997,2685917200
Romania,ROU,1998,1033288900
Romania,ROU,1999,1186604500
Romania,ROU,2000,1643053000
Romania,ROU,2001,1649266800
Romania,ROU,2002,1416723300
Romania,ROU,2003,1654448800
Romania,ROU,2004,1628582900
Romania,ROU,2005,2786711300
Romania,ROU,2006,3135364600
Romania,ROU,2007,3197801500
Romania,ROU,2008,3789806300
Romania,ROU,2009,2683000000
Romania,ROU,2010,2434165800
Romania,ROU,2011,2757236500
Romania,ROU,2012,3136035800
Romania,ROU,2013,3649915600
Romania,ROU,2014,3905657000
Romania,ROU,2015,4353867000
Romania,ROU,2016,4946182700
Romania,ROU,2017,7383511600
Romania,ROU,2018,7552860000
Romania,ROU,2019,8246021600
Romania,ROU,2020,3245932000
Romania,ROU,2021,6884039700
Russia,RUS,1995,22779320000
Russia,RUS,1996,28521080000
Russia,RUS,1997,28320152000
Russia,RUS,1998,33802885000
Russia,RUS,1999,26409830000
Russia,RUS,2000,23006374000
Russia,RUS,2001,20457646000
Russia,RUS,2002,21476390000
Russia,RUS,2003,20614568000
Russia,RUS,2004,21437840000
Russia,RUS,2005,19823243000
Russia,RUS,2006,22580920000
Russia,RUS,2007,24135686000
Russia,RUS,2008,25758818000
Russia,RUS,2009,23304610000
Russia,RUS,2010,19673405000
Russia,RUS,2011,22519155000
Russia,RUS,2012,21364760000
Russia,RUS,2013,23020356000
Russia,RUS,2014,25244870000
Russia,RUS,2015,24843028000
Russia,RUS,2016,23618818000
Russia,RUS,2017,22767192000
Russia,RUS,2018,30802481000
Russia,RUS,2019,28802628000
Russia,RUS,2020,11066542000
Russia,RUS,2021,10760401000
Saudi Arabia,SAU,2004,23949638000
Saudi Arabia,SAU,2005,17000093000
Saudi Arabia,SAU,2006,17146828000
Saudi Arabia,SAU,2007,20609616000
Saudi Arabia,SAU,2008,18566509000
Saudi Arabia,SAU,2009,17926932000
Saudi Arabia,SAU,2010,19053636000
Saudi Arabia,SAU,2011,22690894000
Saudi Arabia,SAU,2012,19380515000
Saudi Arabia,SAU,2013,19270857000
Saudi Arabia,SAU,2014,20295492000
Saudi Arabia,SAU,2015,24659294000
Saudi Arabia,SAU,2016,26463326000
Saudi Arabia,SAU,2017,28995914000
Saudi Arabia,SAU,2018,32370650000
Saudi Arabia,SAU,2019,39394790000
Saudi Arabia,SAU,2020,9354371000
Saudi Arabia,SAU,2021,8583839000
Slovakia,SVK,1995,2573688000
Slovakia,SVK,1996,2711611000
Slovakia,SVK,1997,2268747000
Slovakia,SVK,1998,1996142200
Slovakia,SVK,1999,2002115800
Slovakia,SVK,2000,1868094500
Slovakia,SVK,2001,2706445600
Slovakia,SVK,2002,2824625200
Slovakia,SVK,2003,2480996900
Slovakia,SVK,2004,2117137200
Slovakia,SVK,2005,2650156300
Slovakia,SVK,2006,3052581600
Slovakia,SVK,2007,3290399200
Slovakia,SVK,2008,3600927200
Slovakia,SVK,2009,3131386600
Slovakia,SVK,2010,3101728300
Slovakia,SVK,2011,3104391200
Slovakia,SVK,2012,3063399400
Slovakia,SVK,2013,3378416600
Slovakia,SVK,2014,3312493600
Slovakia,SVK,2015,3719051000
Slovakia,SVK,2016,4242319600
Slovakia,SVK,2017,4380364300
Slovakia,SVK,2018,4443698000
Slovakia,SVK,2019,4576081400
Slovakia,SVK,2020,1794304400
Slovakia,SVK,2021,1428869000
Slovenia,SVN,1995,2100768500
Slovenia,SVN,1996,2498222800
Slovenia,SVN,1997,2590366000
Slovenia,SVN,1998,2301124000
Slovenia,SVN,1999,2088308500
Slovenia,SVN,2000,2356091100
Slovenia,SVN,2001,2468754000
Slovenia,SVN,2002,2466299000
Slovenia,SVN,2003,2489331500
Slovenia,SVN,2004,2701093400
Slovenia,SVN,2005,2918983200
Slovenia,SVN,2006,3085337300
Slovenia,SVN,2007,3170510800
Slovenia,SVN,2008,3304971300
Slovenia,SVN,2009,3334251500
Slovenia,SVN,2010,3478996200
Slovenia,SVN,2011,3531053600
Slovenia,SVN,2012,3435668000
Slovenia,SVN,2013,3454835500
Slovenia,SVN,2014,3527620900
Slovenia,SVN,2015,3583052500
Slovenia,SVN,2016,3770978300
Slovenia,SVN,2017,4151516000
Slovenia,SVN,2018,4328030000
Slovenia,SVN,2019,4490630700
Slovenia,SVN,2020,1956867300
Slovenia,SVN,2021,2602234600
South Africa,ZAF,1995,4381248000
South Africa,ZAF,1996,5950212600
South Africa,ZAF,1997,6402408000
South Africa,ZAF,1998,7194206700
South Africa,ZAF,1999,7415864000
South Africa,ZAF,2000,7645523500
South Africa,ZAF,2001,8610995000
South Africa,ZAF,2002,10955556000
South Africa,ZAF,2003,14538734000
South Africa,ZAF,2004,14254523000
South Africa,ZAF,2005,15866826000
South Africa,ZAF,2006,17679570000
South Africa,ZAF,2007,18730201000
South Africa,ZAF,2008,18081980000
South Africa,ZAF,2009,16576952000
South Africa,ZAF,2010,16396482000
South Africa,ZAF,2011,16220678000
South Africa,ZAF,2012,18224153000
South Africa,ZAF,2013,18737834000
South Africa,ZAF,2014,20045190000
South Africa,ZAF,2015,19937780000
South Africa,ZAF,2016,20680733000
South Africa,ZAF,2017,19828630000
South Africa,ZAF,2018,19211272000
South Africa,ZAF,2019,18801973000
South Africa,ZAF,2020,6448314000
South Africa,ZAF,2021,4475329500
South Korea,KOR,1995,7864987000
South Korea,KOR,1996,7408650000
South Korea,KOR,1997,8120448000
South Korea,KOR,1998,16291355000
South Korea,KOR,1999,13565502000
South Korea,KOR,2000,12594028000
South Korea,KOR,2001,12905445000
South Korea,KOR,2002,11318649000
South Korea,KOR,2003,9397899000
South Korea,KOR,2004,9883559000
South Korea,KOR,2005,8217185300
South Korea,KOR,2006,7390970400
South Korea,KOR,2007,7485819000
South Korea,KOR,2008,13503441000
South Korea,KOR,2009,15316492000
South Korea,KOR,2010,14147532000
South Korea,KOR,2011,15698347000
South Korea,KOR,2012,16770907000
South Korea,KOR,2013,17444207000
South Korea,KOR,2014,20092230000
South Korea,KOR,2015,18164027000
South Korea,KOR,2016,21068669000
South Korea,KOR,2017,15941583000
South Korea,KOR,2018,21224542000
South Korea,KOR,2019,25170880000
South Korea,KOR,2020,12486940000
South Korea,KOR,2021,12015727000
Spain,ESP,1995,45557944000
Spain,ESP,1996,47859130000
Spain,ESP,1997,52290130000
Spain,ESP,1998,58260600000
Spain,ESP,1999,66897236000
Spain,ESP,2000,71884250000
Spain,ESP,2001,73810610000
Spain,ESP,2002,71192960000
Spain,ESP,2003,72405650000
Spain,ESP,2004,72802300000
Spain,ESP,2005,75060510000
Spain,ESP,2006,77684740000
Spain,ESP,2007,78252740000
Spain,ESP,2008,76003430000
Spain,ESP,2009,69778596000
Spain,ESP,2010,70370664000
Spain,ESP,2011,75477115000
Spain,ESP,2012,74084090000
Spain,ESP,2013,76822970000
Spain,ESP,2014,80561996000
Spain,ESP,2015,84491125000
Spain,ESP,2016,91022170000
Spain,ESP,2017,99130250000
Spain,ESP,2018,100039100000
Spain,ESP,2019,102420000000
Spain,ESP,2020,23261049000
Spain,ESP,2021,40526510000
Sweden,SWE,1995,3459528400
Sweden,SWE,1996,3435425800
Sweden,SWE,1997,3795072000
Sweden,SWE,1998,4609383400
Sweden,SWE,1999,4704805000
Sweden,SWE,2000,5085594000
Sweden,SWE,2001,5858956300
Sweden,SWE,2002,5987396000
Sweden,SWE,2003,5493594000
Sweden,SWE,2004,5812411400
Sweden,SWE,2005,6221944000
Sweden,SWE,2006,7744442400
Sweden,SWE,2007,8466384000
Sweden,SWE,2008,7810114600
Sweden,SWE,2009,7118499000
Sweden,SWE,2010,7075703300
Sweden,SWE,2011,7582587400
Sweden,SWE,2012,7760952300
Sweden,SWE,2013,6772196000
Sweden,SWE,2014,7196265000
Sweden,SWE,2015,8029670400
Sweden,SWE,2016,8798975000
Sweden,SWE,2017,9472015000
Sweden,SWE,2018,9403270000
Sweden,SWE,2019,9246004000
Sweden,SWE,2020,4245574700
Sweden,SWE,2021,5369736700
Switzerland,CHE,1995,9514644000
Switzerland,CHE,1996,9272983000
Switzerland,CHE,1997,9679401000
Switzerland,CHE,1998,9723638000
Switzerland,CHE,1999,8553318000
Switzerland,CHE,2000,9090777000
Switzerland,CHE,2001,9200698000
Switzerland,CHE,2002,9090533000
Switzerland,CHE,2003,9092109000
Switzerland,CHE,2004,9183003000
Switzerland,CHE,2005,9678975000
Switzerland,CHE,2006,10514869000
Switzerland,CHE,2007,11326701000
Switzerland,CHE,2008,11998425000
Switzerland,CHE,2009,11817563000
Switzerland,CHE,2010,11618339000
Switzerland,CHE,2011,11427675000
Switzerland,CHE,2012,11332942000
Switzerland,CHE,2013,11706488000
Switzerland,CHE,2014,12327173000
Switzerland,CHE,2015,12481157000
Switzerland,CHE,2016,12700425000
Switzerland,CHE,2017,13001604000
Switzerland,CHE,2018,13345249000
Switzerland,CHE,2019,13572140000
Switzerland,CHE,2020,7249521000
Switzerland,CHE,2021,7609477000
Turkey,TUR,1995,17428840000
Turkey,TUR,1996,19552006000
Turkey,TUR,1997,24346210000
Turkey,TUR,1998,23203130000
Turkey,TUR,1999,16388171000
Turkey,TUR,2000,23178810000
Turkey,TUR,2001,38796260000
Turkey,TUR,2002,38908686000
Turkey,TUR,2003,35347812000
Turkey,TUR,2004,37202088000
Turkey,TUR,2005,39150567000
Turkey,TUR,2006,34547126000
Turkey,TUR,2007,32249027000
Turkey,TUR,2008,35074950000
Turkey,TUR,2009,38664940000
Turkey,TUR,2010,33938033000
Turkey,TUR,2011,39409103000
Turkey,TUR,2012,39257340000
Turkey,TUR,2013,42762887000
Turkey,TUR,2014,47669055000
Turkey,TUR,2015,49557540000
Turkey,TUR,2016,35953693000
Turkey,TUR,2017,46861820000
Turkey,TUR,2018,59818500000
Turkey,TUR,2019,72183680000
Turkey,TUR,2020,27208774000
Turkey,TUR,2021,58546106000
United Kingdom,GBR,1995,28303817000
United Kingdom,GBR,1996,29061167000
United Kingdom,GBR,1997,28615487000
United Kingdom,GBR,1998,29137945000
United Kingdom,GBR,1999,29704425000
United Kingdom,GBR,2000,30820856000
United Kingdom,GBR,2001,29390836000
United Kingdom,GBR,2002,30363759000
United Kingdom,GBR,2003,30217810000
United Kingdom,GBR,2004,32755610000
United Kingdom,GBR,2005,34460610000
United Kingdom,GBR,2006,38969324000
United Kingdom,GBR,2007,39191500000
United Kingdom,GBR,2008,37999040000
United Kingdom,GBR,2009,39314790000
United Kingdom,GBR,2010,40232518000
United Kingdom,GBR,2011,41404010000
United Kingdom,GBR,2012,43485400000
United Kingdom,GBR,2013,47780930000
United Kingdom,GBR,2014,50284590000
United Kingdom,GBR,2015,53095215000
United Kingdom,GBR,2016,56482410000
United Kingdom,GBR,2017,59831190000
United Kingdom,GBR,2018,57586205000
United Kingdom,GBR,2019,61683315000
United Kingdom,GBR,2020,27754422000
United Kingdom,GBR,2021,31188376000
United States,USA,1995,133070650000
United States,USA,1996,141267060000
United States,USA,1997,145472860000
United States,USA,1998,141297700000
United States,USA,1999,145013340000
United States,USA,2000,152433850000
United States,USA,2001,132232420000
United States,USA,2002,119949795000
United States,USA,2003,113392660000
United States,USA,2004,122869580000
United States,USA,2005,129625645000
United States,USA,2006,129238820000
United States,USA,2007,139729320000
United States,USA,2008,147287260000
United States,USA,2009,139887200000
United States,USA,2010,161937780000
United States,USA,2011,171295560000
United States,USA,2012,181659580000
United States,USA,2013,198880760000
United States,USA,2014,206331330000
United States,USA,2015,220192280000
United States,USA,2016,217747030000
United States,USA,2017,217187370000
United States,USA,2018,216599410000
United States,USA,2019,210900860000
United States,USA,2020,75888140000
United States,USA,2021,70215000000
